model,PCA,Train MAE,Train RMSE,Train R2,OOF MAE,OOF RMSE,OOF R2,Test MAE,Test RMSE,Test R2
catboost,No,0.63,0.775,0.844,1.19,1.658,0.336,1.22,1.42,-0.232
dumb_model,N/A,2.796,3.228,-1.714,2.766,3.212,-1.491,2.403,2.688,-3.411
elasticnet,No,1.043,1.399,0.49,1.144,1.58,0.398,1.122,1.283,-0.006
elasticnet,Yes,1.131,1.494,0.419,1.31,1.748,0.262,1.053,1.262,0.027
lasso,No,1.024,1.377,0.506,1.173,1.592,0.388,1.141,1.292,-0.019
lasso,Yes,1.129,1.5,0.414,1.318,1.751,0.26,1.05,1.261,0.03
linear,No,0.981,1.283,0.571,9.73,25.658,-157.904,1.074,1.294,-0.023
linear,Yes,1.03,1.351,0.524,2.119,3.605,-2.137,1.034,1.203,0.117
ridge,No,0.974,1.285,0.57,1.354,1.822,0.199,1.072,1.286,-0.01
ridge,Yes,1.11,1.467,0.439,1.363,1.853,0.172,0.999,1.213,0.102
xgb,No,0.227,0.296,0.977,1.208,1.654,0.34,1.201,1.52,-0.411
