quarter,quarter_start,quarter_end,release_date,release_lag_days,initial_value
1991Q4,1991-10-01,1991-12-31,1992-01-29,29,4866.3
1992Q1,1992-01-01,1992-03-31,1992-04-28,28,4891.9
1992Q2,1992-04-01,1992-06-30,1992-07-30,30,4890.5
1992Q3,1992-07-01,1992-09-30,1992-10-27,27,4924.5
1992Q4,1992-10-01,1992-12-31,1993-01-28,28,4979.8
1993Q1,1993-01-01,1993-03-31,1993-04-29,29,5013.1
1993Q2,1993-04-01,1993-06-30,1993-07-29,29,5019.5
1993Q3,1993-07-01,1993-09-30,1993-10-28,28,5138.0
1993Q4,1993-10-01,1993-12-31,1994-01-28,28,5212.1
1994Q1,1994-01-01,1994-03-31,1994-04-28,28,5259.0
1994Q2,1994-04-01,1994-06-30,1994-07-29,29,5309.2
1994Q3,1994-07-01,1994-09-30,1994-10-28,28,5359.2
1994Q4,1994-10-01,1994-12-31,1995-01-27,27,5426.8
1995Q1,1995-01-01,1995-03-31,1995-04-28,28,5471.7
1995Q2,1995-04-01,1995-06-30,1995-07-28,28,5477.3
1995Q3,1995-07-01,1995-09-30,1995-10-27,27,5544.6
1995Q4,1995-10-01,1995-12-31,1996-02-23,54,6783.8
1996Q1,1996-01-01,1996-03-31,1996-05-02,32,6823.6
1996Q2,1996-04-01,1996-06-30,1996-08-01,32,6885.1
1996Q3,1996-07-01,1996-09-30,1996-10-30,30,6929.7
1996Q4,1996-10-01,1996-12-31,1997-01-31,31,7008.7
1997Q1,1997-01-01,1997-03-31,1997-04-30,30,7089.4
1997Q2,1997-04-01,1997-06-30,1997-07-31,31,7139.7
1997Q3,1997-07-01,1997-09-30,1997-10-31,31,7221.8
1997Q4,1997-10-01,1997-12-31,1998-01-30,30,7290.3
1998Q1,1998-01-01,1998-03-31,1998-04-30,30,7356.0
1998Q2,1998-04-01,1998-06-30,1998-07-31,31,7491.0
1998Q3,1998-07-01,1998-09-30,1998-10-30,30,7559.5
1998Q4,1998-10-01,1998-12-31,1999-01-29,29,7670.0
1999Q1,1999-01-01,1999-03-31,1999-04-30,30,7762.5
1999Q2,1999-04-01,1999-06-30,1999-07-29,29,7803.6
1999Q3,1999-07-01,1999-09-30,1999-10-28,28,8882.6
1999Q4,1999-10-01,1999-12-31,2000-01-28,28,9026.9
2000Q1,2000-01-01,2000-03-31,2000-04-27,27,9156.6
2000Q2,2000-04-01,2000-06-30,2000-07-28,28,9308.8
2000Q3,2000-07-01,2000-09-30,2000-10-27,27,9382.2
2000Q4,2000-10-01,2000-12-31,2001-01-31,31,9401.5
2001Q1,2001-01-01,2001-03-31,2001-04-27,27,9439.9
2001Q2,2001-04-01,2001-06-30,2001-07-27,27,9351.6
2001Q3,2001-07-01,2001-09-30,2001-10-31,31,9333.4
2001Q4,2001-10-01,2001-12-31,2002-01-30,30,9315.6
2002Q1,2002-01-01,2002-03-31,2002-04-26,26,9482.1
2002Q2,2002-04-01,2002-06-30,2002-07-31,31,9387.9
2002Q3,2002-07-01,2002-09-30,2002-10-31,31,9465.2
2002Q4,2002-10-01,2002-12-31,2003-01-30,30,9503.2
2003Q1,2003-01-01,2003-03-31,2003-04-25,25,9556.0
2003Q2,2003-04-01,2003-06-30,2003-07-31,31,9608.1
2003Q3,2003-07-01,2003-09-30,2003-10-30,30,9797.2
2003Q4,2003-10-01,2003-12-31,2004-01-30,30,10597.1
2004Q1,2004-01-01,2004-03-31,2004-04-29,29,10708.6
2004Q2,2004-04-01,2004-06-30,2004-07-30,30,10778.0
2004Q3,2004-07-01,2004-09-30,2004-10-29,29,10883.4
2004Q4,2004-10-01,2004-12-31,2005-01-28,28,10975.7
2005Q1,2005-01-01,2005-03-31,2005-04-28,28,11078.2
2005Q2,2005-04-01,2005-06-30,2005-07-29,29,11092.0
2005Q3,2005-07-01,2005-09-30,2005-10-28,28,11193.2
2005Q4,2005-10-01,2005-12-31,2006-01-27,27,11233.5
2006Q1,2006-01-01,2006-03-31,2006-04-28,28,11381.4
2006Q2,2006-04-01,2006-06-30,2006-07-28,28,11385.3
2006Q3,2006-07-01,2006-09-30,2006-10-27,27,11432.9
2006Q4,2006-10-01,2006-12-31,2007-01-31,31,11541.6
2007Q1,2007-01-01,2007-03-31,2007-04-27,27,11549.1
2007Q2,2007-04-01,2007-06-30,2007-07-27,27,11507.9
2007Q3,2007-07-01,2007-09-30,2007-10-31,31,11630.7
2007Q4,2007-10-01,2007-12-31,2008-01-30,30,11677.4
2008Q1,2008-01-01,2008-03-31,2008-04-30,30,11693.1
2008Q2,2008-04-01,2008-06-30,2008-07-31,31,11700.6
2008Q3,2008-07-01,2008-09-30,2008-10-30,30,11720.0
