iter	RMSE
0	1.929732141
1	1.922638471
2	1.914453753
3	1.905608066
4	1.895768085
5	1.886537236
6	1.879219588
7	1.868245863
8	1.858747635
9	1.851779978
10	1.843043565
11	1.83566515
12	1.826265682
13	1.816062025
14	1.806616366
15	1.799615447
16	1.790522354
17	1.784041924
18	1.774807298
19	1.767357855
20	1.758661917
21	1.749518981
22	1.742666667
23	1.734440062
24	1.726263678
25	1.718980313
26	1.711695822
27	1.703566022
28	1.697140375
29	1.690366484
30	1.681813947
31	1.675907599
32	1.668458584
33	1.660427161
34	1.65505562
35	1.647472104
36	1.639938004
37	1.633546518
38	1.6274007
39	1.621408402
40	1.615046118
41	1.609364314
42	1.602716634
43	1.59828294
44	1.594265935
45	1.590593768
46	1.583596574
47	1.580100037
48	1.574876101
49	1.570578887
50	1.564870095
51	1.559989097
52	1.556006067
53	1.55064557
54	1.546825941
55	1.542295026
56	1.53767899
57	1.531809371
58	1.526999166
59	1.522117199
60	1.516354904
61	1.511733332
62	1.505527626
63	1.501786446
64	1.495846902
65	1.490809645
66	1.486400656
67	1.481958753
68	1.477371646
69	1.471021565
70	1.465591712
71	1.460984123
72	1.455454356
73	1.45202244
74	1.446060699
75	1.443344033
76	1.439503772
77	1.434710111
78	1.429869252
79	1.426896483
80	1.422491872
81	1.418814603
82	1.413402977
83	1.409113664
84	1.406313726
85	1.402338451
86	1.398990041
87	1.394393498
88	1.38964584
89	1.385757251
90	1.38047834
91	1.377088746
92	1.373078775
93	1.369438171
94	1.364789708
95	1.359359444
96	1.356326549
97	1.353939512
98	1.350564595
99	1.347522751
100	1.342744445
101	1.339267607
102	1.335520669
103	1.331435766
104	1.326634006
105	1.323205036
106	1.320325916
107	1.318095311
108	1.314485478
109	1.312431258
110	1.308972055
111	1.30481811
112	1.301848583
113	1.299596237
114	1.295644675
115	1.293010947
116	1.290543545
117	1.286941815
118	1.284012608
119	1.280060502
120	1.27720235
121	1.273459758
122	1.270264801
123	1.267456369
124	1.264871
125	1.263633808
126	1.261676566
127	1.258098424
128	1.255089209
129	1.25166295
130	1.247724373
131	1.243969993
132	1.2407069
133	1.23783227
134	1.234862268
135	1.231711176
136	1.2292061
137	1.227038766
138	1.224613692
139	1.222845938
140	1.219494579
141	1.217719398
142	1.215811344
143	1.211825643
144	1.210127807
145	1.207178099
146	1.205683934
147	1.203319049
148	1.201122304
149	1.19823048
150	1.195401726
151	1.193139318
152	1.190218554
153	1.187522611
154	1.185554327
155	1.183070857
156	1.181822917
157	1.178953043
158	1.177016858
159	1.174824857
160	1.172304897
161	1.170490387
162	1.168378621
163	1.166552884
164	1.164398139
165	1.162239512
166	1.159414618
167	1.156496699
168	1.15415034
169	1.151120189
170	1.147422265
171	1.14524763
172	1.143492212
173	1.142304372
174	1.138980583
175	1.136586919
176	1.134181527
177	1.132384368
178	1.130648533
179	1.12823017
180	1.125227668
181	1.122791074
182	1.120744327
183	1.118750639
184	1.116897302
185	1.115346531
186	1.113998084
187	1.112241476
188	1.110244152
189	1.108473474
190	1.106100702
191	1.104246692
192	1.102614795
193	1.100214974
194	1.098482541
195	1.096506702
196	1.094846742
197	1.09279882
198	1.090580978
199	1.088430259
200	1.087250707
201	1.085401286
202	1.083616193
203	1.081221633
204	1.079707131
205	1.077103275
206	1.075177091
207	1.073032334
208	1.071021763
209	1.069751856
210	1.067830215
211	1.06581076
212	1.064024198
213	1.062596096
214	1.061342459
215	1.059171779
216	1.05697108
217	1.055396453
218	1.053813023
219	1.051977628
220	1.050639907
221	1.049104836
222	1.04800608
223	1.046392825
224	1.0450299
225	1.043463996
226	1.042619213
227	1.040721743
228	1.039581224
229	1.037831638
230	1.036212025
231	1.035176487
232	1.034221909
233	1.03271288
234	1.030835426
235	1.029445202
236	1.028373813
237	1.027340411
238	1.025147787
239	1.024620378
240	1.023198036
241	1.022208341
242	1.02113065
243	1.019047793
244	1.018128288
245	1.016672534
246	1.015451861
247	1.013844295
248	1.012676941
249	1.011525385
250	1.010242502
251	1.009128233
252	1.00786453
253	1.006370862
254	1.004865515
255	1.002918824
256	1.000870219
257	0.9999295644
258	0.9986832467
259	0.9978228792
260	0.9961108592
261	0.9952943446
262	0.9938929382
263	0.991380716
264	0.9896124714
265	0.9880156004
266	0.9862740387
267	0.984957301
268	0.9833102278
269	0.9819673652
270	0.9805423234
271	0.9793730288
272	0.9775876293
273	0.975557014
274	0.974717785
275	0.9739451004
276	0.9725557655
277	0.9712790382
278	0.9703699278
279	0.9689070111
280	0.9678233562
281	0.9669881287
282	0.9656852307
283	0.9642969575
284	0.9631614897
285	0.9616789311
286	0.960286517
287	0.9592535141
288	0.9579386272
289	0.9565083837
290	0.9548645395
291	0.9534507763
292	0.9522734055
293	0.9504757707
294	0.948677532
295	0.947698441
296	0.9464069157
297	0.9451858776
298	0.944644266
299	0.9436226625
300	0.9418749014
301	0.9408550482
302	0.9395460732
303	0.9386220718
304	0.9374076014
305	0.9362022658
306	0.9353893621
307	0.9342372034
308	0.9334486665
309	0.9320777085
310	0.9304598867
311	0.9294495427
312	0.9285823579
313	0.92731524
314	0.9265282132
315	0.9251483699
316	0.9236020034
317	0.9222072411
318	0.9212114894
319	0.9198204864
320	0.9188483274
321	0.9176251337
322	0.9163781434
323	0.9152551558
324	0.9140142837
325	0.91327189
326	0.9126540287
327	0.911031076
328	0.9100007692
329	0.9089366281
330	0.908081765
331	0.9070605839
332	0.9056021241
333	0.9044105389
334	0.9031526276
335	0.902373526
336	0.9008979301
337	0.8996648438
338	0.8984988617
339	0.8971676932
340	0.8956244369
341	0.894367099
342	0.8934855438
343	0.8927261855
344	0.8916742037
345	0.8907618094
346	0.8894512773
347	0.8888069219
348	0.8875380173
349	0.8866571051
350	0.8851808549
351	0.8839888169
352	0.8830546388
353	0.8825917783
354	0.8815470439
355	0.8803033012
356	0.8789610266
357	0.8783489016
358	0.8770305364
359	0.8762340597
360	0.8749869248
361	0.8734742662
362	0.8723300193
363	0.8720589278
364	0.8711848542
365	0.8698401781
366	0.8692197504
367	0.868519379
368	0.8672615217
369	0.8666676868
370	0.8654708353
371	0.8643183504
372	0.8630167468
373	0.8621717964
374	0.8617113044
375	0.8601638011
376	0.8588984054
377	0.8583502061
378	0.8566927946
379	0.8555596095
380	0.854091412
381	0.8534495713
382	0.852539116
383	0.8516831051
384	0.8508499933
385	0.8498622718
386	0.8490820309
387	0.8483339755
388	0.8474222227
389	0.8464048516
390	0.8453016499
391	0.8442055858
392	0.8427907699
393	0.8416553929
394	0.8406169217
395	0.8399263013
396	0.8388124931
397	0.8382741432
398	0.8374319852
399	0.8367844278
400	0.8358735239
401	0.8352952811
402	0.8345978192
403	0.8339705098
404	0.8326178219
405	0.8312176304
406	0.8298644342
407	0.8294589988
408	0.8286955085
409	0.8276682375
410	0.826609087
411	0.8258753341
412	0.8248319943
413	0.8243032834
414	0.8238038658
415	0.8225691353
416	0.8211625337
417	0.8200980686
418	0.8191661265
419	0.8184109079
420	0.8170642516
421	0.8161525022
422	0.8154739987
423	0.8146602321
424	0.8137225799
425	0.8130338658
426	0.8123214938
427	0.8111452693
428	0.8102913978
429	0.8097156686
430	0.8092012424
431	0.8083131789
432	0.8075644174
433	0.8068693914
434	0.8062318367
435	0.8054126696
436	0.8043560517
437	0.8031243635
438	0.8021010226
439	0.8008229272
440	0.7995939156
441	0.7987230667
442	0.7975437532
443	0.7968292015
444	0.7956766906
445	0.7946391496
446	0.7939977893
447	0.7932179344
448	0.792244067
449	0.7911970535
450	0.7903342254
451	0.7894060863
452	0.789121621
453	0.7881250648
454	0.7870346606
455	0.7862434496
456	0.785428843
457	0.7848848531
458	0.7837818518
459	0.7828016397
460	0.7819522664
461	0.7813448315
462	0.7805716008
463	0.7797441169
464	0.7785797697
465	0.7779977284
466	0.7774976922
467	0.7766921306
468	0.7761712991
469	0.775307942
470	0.7743396813
471	0.7738231393
472	0.7730832036
473	0.7723290805
474	0.7711754036
475	0.7701742394
476	0.7695384606
477	0.768354484
478	0.7673145706
479	0.7663834208
480	0.7655437001
481	0.764577635
482	0.7642314496
483	0.7633886881
484	0.7624287172
485	0.7617167004
486	0.7610928953
487	0.7600990233
488	0.7591097048
489	0.7583613283
490	0.7575888805
491	0.7567307826
492	0.756064466
493	0.7551267628
494	0.7540087926
495	0.7531042308
496	0.7521149124
497	0.7510332438
498	0.7500168312
499	0.749069431
500	0.7483886829
501	0.7473365887
502	0.7465016466
503	0.7456171198
504	0.7449117074
505	0.7440950762
506	0.7429512741
507	0.7418424017
508	0.74086021
509	0.7401006877
510	0.7393291997
511	0.7386660967
512	0.7376987424
513	0.7371752398
514	0.7364423291
515	0.7359069272
516	0.7351656299
517	0.73469992
518	0.7339840133
519	0.7333185743
520	0.7322041208
521	0.7315272287
522	0.7307354618
523	0.7298362971
524	0.7292244558
525	0.7281608844
526	0.7273602186
527	0.7266459719
528	0.7260534421
529	0.7250886667
530	0.7241634457
531	0.7235390939
532	0.7228257523
533	0.7221747833
534	0.7214715597
535	0.7204474268
536	0.7197322956
537	0.7189991266
538	0.7183206433
539	0.7177053331
540	0.7168616626
541	0.7162815001
542	0.7152123251
543	0.7145914615
544	0.7139971769
545	0.7131873362
546	0.7123521607
547	0.7116205884
548	0.7107210119
549	0.7101533823
550	0.709550058
551	0.708460906
552	0.7078129198
553	0.707060698
554	0.7063270423
555	0.7055928546
556	0.7045619566
557	0.703748832
558	0.7029455932
559	0.702161749
560	0.701479663
561	0.7008494103
562	0.6998744273
563	0.6990894233
564	0.6983884727
565	0.6973646916
566	0.6967102891
567	0.6959469929
568	0.6952574338
569	0.6948313133
570	0.6942766731
571	0.6933649607
572	0.6926092122
573	0.6919032094
574	0.6912475666
575	0.6905697599
576	0.6896886063
577	0.6887079725
578	0.6880176678
579	0.6875598267
580	0.6869582899
581	0.6860811706
582	0.685456819
583	0.6847289632
584	0.6841454088
585	0.6838652478
586	0.6831430402
587	0.6823921328
588	0.6814004501
589	0.6808319109
590	0.6799893406
591	0.6794830992
592	0.6786911336
593	0.6780458231
594	0.6776080378
595	0.6768979486
596	0.6759299198
597	0.675312069
598	0.6744543286
599	0.6739200034
600	0.6733989785
601	0.6726427963
602	0.6719524584
603	0.6714140238
604	0.6708716322
605	0.6701418257
606	0.669429978
607	0.6688837706
608	0.667989475
609	0.6676155803
610	0.666947597
611	0.6663587938
