iter	Passed	Remaining
0	0	101
1	0	90
2	0	83
3	0	81
4	0	79
5	0	79
6	0	80
7	1	80
8	1	79
9	1	77
10	1	76
11	1	74
12	1	73
13	1	72
14	1	72
15	1	71
16	2	71
17	2	71
18	2	71
19	2	70
20	2	70
21	2	70
22	2	69
23	2	69
24	2	69
25	3	68
26	3	68
27	3	68
28	3	67
29	3	67
30	3	67
31	3	66
32	3	66
33	3	66
34	4	65
35	4	65
36	4	65
37	4	65
38	4	64
39	4	64
40	4	64
41	4	64
42	4	64
43	4	63
44	5	63
45	5	63
46	5	64
47	5	64
48	5	65
49	5	66
50	5	65
51	6	65
52	6	65
53	6	65
54	6	65
55	6	65
56	6	64
57	6	64
58	6	64
59	7	64
60	7	64
61	7	64
62	7	64
63	7	63
64	7	63
65	7	63
66	7	63
67	7	63
68	7	62
69	8	62
70	8	62
71	8	62
72	8	62
73	8	62
74	8	61
75	8	61
76	8	61
77	8	61
78	9	61
79	9	60
80	9	60
81	9	60
82	9	60
83	9	60
84	9	60
85	9	60
86	10	60
87	10	60
88	10	60
89	10	60
90	10	60
91	10	60
92	10	59
93	10	59
94	10	59
95	11	59
96	11	59
97	11	59
98	11	59
99	11	59
100	12	62
101	12	62
102	12	62
103	12	62
104	12	62
105	13	62
106	13	62
107	13	62
108	13	62
109	13	61
110	13	61
111	13	61
112	13	61
113	13	61
114	14	60
115	14	60
116	14	60
117	14	60
118	14	60
119	14	59
120	14	59
121	14	59
122	14	59
123	15	59
124	15	59
125	15	59
126	15	59
127	15	58
128	15	58
129	15	58
130	15	58
131	16	58
132	16	58
133	16	58
134	16	58
135	16	57
136	16	57
137	16	57
138	16	57
139	17	57
140	17	57
141	17	57
142	17	56
143	17	56
144	17	56
145	17	56
146	17	56
147	17	56
148	18	55
149	18	55
150	18	55
151	18	55
152	18	55
153	18	55
154	18	55
155	18	54
156	18	54
157	18	54
158	19	54
159	19	54
160	19	54
161	19	54
162	19	54
163	19	54
164	19	53
165	19	53
166	20	53
167	20	53
168	20	53
169	20	52
170	20	52
171	20	52
172	20	52
173	20	52
174	20	52
175	20	51
176	21	51
177	21	51
178	21	51
179	21	51
180	21	51
181	21	50
182	21	50
183	21	50
184	21	50
185	21	50
186	22	50
187	22	49
188	22	49
189	22	49
190	22	49
191	22	49
192	22	49
193	22	48
194	22	48
195	22	48
196	22	48
197	23	48
198	23	48
199	23	47
200	23	47
201	23	47
202	23	47
203	23	47
204	23	47
205	23	47
206	23	46
207	24	46
208	24	46
209	24	46
210	24	46
211	24	46
212	24	46
213	24	45
214	24	45
215	24	45
216	24	45
217	25	45
218	25	45
219	25	45
220	25	44
221	25	44
222	25	44
223	25	44
224	25	44
225	25	44
226	26	44
227	26	43
228	26	43
229	26	43
230	26	43
231	26	43
232	26	43
233	26	43
234	26	43
235	26	42
236	27	42
237	27	42
238	27	42
239	27	42
240	27	42
241	27	42
242	27	42
243	27	41
244	27	41
245	27	41
246	28	41
247	28	41
248	28	41
249	28	41
250	28	40
251	28	40
252	28	40
253	28	40
254	28	40
255	28	40
256	29	40
257	29	39
258	29	39
259	29	39
260	29	39
261	29	39
262	29	39
263	29	39
264	29	39
265	29	38
266	29	38
267	30	38
268	30	38
269	30	38
270	30	38
271	30	38
272	30	37
273	30	37
274	30	37
275	30	37
276	30	37
277	31	37
278	31	37
279	31	37
280	31	36
281	31	36
282	31	36
283	31	36
284	31	36
285	31	36
286	31	36
287	31	35
288	32	35
289	32	35
290	32	35
291	32	35
292	32	35
293	32	35
294	32	35
295	32	34
296	32	34
297	32	34
298	33	34
299	33	34
300	33	34
301	33	34
302	33	34
303	33	34
304	33	34
305	34	34
306	34	33
307	34	33
308	34	33
309	34	33
310	34	33
311	34	33
312	34	33
313	34	33
314	34	32
315	34	32
316	35	32
317	35	32
318	35	32
319	35	32
320	35	32
321	35	32
322	35	31
323	35	31
324	35	31
325	36	31
326	36	31
327	36	31
328	36	31
329	36	31
330	36	31
331	36	30
332	36	30
333	36	30
334	36	30
335	37	30
336	37	30
337	37	30
338	37	30
339	37	29
340	37	29
341	37	29
342	37	29
343	37	29
344	38	29
345	38	29
346	38	29
347	38	29
348	38	28
349	38	28
350	38	28
351	38	28
352	38	28
353	38	28
354	39	28
355	39	28
356	39	28
357	39	27
358	39	27
359	39	27
360	39	27
361	39	27
362	39	27
363	40	27
364	40	27
365	40	27
366	40	27
367	40	26
368	40	26
369	40	26
370	41	26
371	41	26
372	41	26
373	41	26
374	41	26
375	41	26
376	41	26
377	41	25
378	42	25
379	42	25
380	42	25
381	42	25
382	42	25
383	42	25
384	42	25
385	42	25
386	43	25
387	43	24
388	43	24
389	43	24
390	43	24
391	43	24
392	43	24
393	43	24
394	43	24
395	44	24
396	44	23
397	44	23
398	44	23
399	44	23
400	44	23
401	44	23
402	44	23
403	45	23
404	45	23
405	45	23
406	45	22
407	45	22
408	45	22
409	45	22
410	45	22
411	45	22
412	46	22
413	46	22
414	46	21
415	46	21
416	46	21
417	46	21
418	46	21
419	47	21
420	47	21
421	47	21
422	47	21
423	47	21
424	47	20
425	47	20
426	47	20
427	47	20
428	48	20
429	48	20
430	48	20
431	48	20
432	48	20
433	48	19
434	48	19
435	48	19
436	48	19
437	49	19
438	49	19
439	49	19
440	49	19
441	49	19
442	49	18
443	49	18
444	49	18
445	49	18
446	49	18
447	50	18
448	50	18
449	50	18
450	50	17
451	50	17
452	50	17
453	50	17
454	50	17
455	50	17
456	51	17
457	51	17
458	51	17
459	51	16
460	51	16
461	51	16
462	51	16
463	51	16
464	51	16
465	52	16
466	52	16
467	52	16
468	52	15
469	52	15
470	52	15
471	52	15
472	52	15
473	52	15
474	53	15
475	53	15
476	53	15
477	53	14
478	53	14
479	53	14
480	53	14
481	53	14
482	54	14
483	54	14
484	54	14
485	54	14
486	54	14
487	55	13
488	55	13
489	55	13
490	55	13
491	55	13
492	55	13
493	55	13
494	56	13
495	56	13
496	56	13
497	56	12
498	56	12
499	56	12
500	56	12
501	57	12
502	57	12
503	57	12
504	57	12
505	59	12
506	59	12
507	59	12
508	59	12
509	60	12
510	60	11
511	60	11
512	60	11
513	60	11
514	61	11
515	61	11
516	61	11
517	61	11
518	62	11
519	62	11
520	62	10
521	62	10
522	62	10
523	62	10
524	63	10
525	63	10
526	63	10
527	63	10
528	63	9
529	63	9
530	64	9
531	64	9
532	64	9
533	64	9
534	64	9
535	64	9
536	64	9
537	64	8
538	65	8
539	65	8
540	65	8
541	65	8
542	65	8
543	65	8
544	65	8
545	65	7
546	66	7
547	66	7
548	66	7
549	66	7
550	66	7
551	66	7
552	66	7
553	66	7
554	67	6
555	67	6
556	67	6
557	67	6
558	67	6
559	67	6
560	67	6
561	67	6
562	68	5
563	68	5
564	68	5
565	68	5
566	68	5
567	68	5
568	68	5
569	68	5
570	69	4
571	69	4
572	69	4
573	69	4
574	69	4
575	69	4
576	69	4
577	69	4
578	70	3
579	70	3
580	70	3
581	70	3
582	70	3
583	70	3
584	70	3
585	70	3
586	71	3
587	71	2
588	71	2
589	71	2
590	71	2
591	71	2
592	71	2
593	71	2
594	72	2
595	72	1
596	72	1
597	72	1
598	72	1
599	72	1
600	72	1
601	73	1
602	73	1
603	73	0
604	73	0
605	73	0
606	73	0
607	73	0
608	73	0
609	73	0
610	74	0
611	74	0
