iter	RMSE
0	1.961535611
1	1.941520479
2	1.921114529
3	1.903989729
4	1.888908832
5	1.869671999
6	1.854436913
7	1.838095651
8	1.821200364
9	1.804741581
10	1.786284335
11	1.770411421
12	1.758378324
13	1.743784991
14	1.732749105
15	1.719706778
16	1.703300808
17	1.688789385
18	1.674968651
19	1.661784014
20	1.647890019
21	1.635396123
22	1.620771745
23	1.608385215
24	1.596173199
25	1.584481622
26	1.573419436
27	1.562052977
28	1.551083916
29	1.542453888
30	1.530776425
31	1.521954167
32	1.512546629
33	1.503590551
34	1.492812326
35	1.483666308
36	1.471201672
37	1.459615956
38	1.447760926
39	1.438845359
40	1.429237653
41	1.422418676
42	1.413458633
43	1.404903543
44	1.392939765
45	1.384463145
46	1.377829997
47	1.366872768
48	1.35708528
49	1.34870736
50	1.337982518
51	1.331207882
52	1.322458758
53	1.315287369
54	1.306708447
55	1.299695796
56	1.292414015
57	1.28533419
58	1.280451921
59	1.273512646
60	1.26609819
61	1.258313568
62	1.253645703
63	1.24664612
64	1.241368251
65	1.235088459
66	1.229457985
67	1.224778469
68	1.218164568
69	1.213043799
70	1.208171759
71	1.202876336
72	1.198491105
73	1.190873964
74	1.184151573
75	1.18044918
76	1.173834353
77	1.167741961
78	1.163374366
79	1.158438565
80	1.152895065
81	1.146280828
82	1.141403138
83	1.135993808
84	1.132576713
85	1.127218648
86	1.121306028
87	1.116146968
88	1.111055401
89	1.105283151
90	1.100225696
91	1.094193224
92	1.090895167
93	1.087013367
94	1.085046802
95	1.081414553
96	1.076090767
97	1.071420764
98	1.065969956
99	1.060538185
100	1.057653641
101	1.053978317
102	1.049321779
103	1.046697235
104	1.043453097
105	1.040261568
106	1.036955171
107	1.032916722
108	1.029353055
109	1.025007137
110	1.022045896
111	1.019628241
112	1.016071036
113	1.013484568
114	1.009433009
115	1.003628243
116	0.9968162996
117	0.9939023624
118	0.9906423804
119	0.9876107019
120	0.9849730839
121	0.9809972648
122	0.9780410828
123	0.9747557352
124	0.9722713549
125	0.9689739393
126	0.9657216671
127	0.9624228209
128	0.9584956075
129	0.956435527
130	0.9543583427
131	0.95048316
132	0.9468296714
133	0.9436368908
134	0.9391279676
135	0.9363210041
136	0.934187125
137	0.9315445769
138	0.9275391331
139	0.924374996
140	0.9200664602
141	0.9170378254
142	0.9141222482
143	0.9117740521
144	0.9091415977
145	0.9068357805
146	0.9030954522
147	0.9004993846
148	0.8986612159
149	0.8957048967
150	0.8923680023
151	0.8894515438
152	0.8871855521
153	0.8848082322
154	0.8813004282
155	0.8798053377
156	0.8778238905
157	0.8747922257
158	0.8721515517
159	0.8684500075
160	0.8656286973
161	0.8635154201
162	0.8601655462
163	0.8567288233
164	0.8542360432
165	0.8518981417
166	0.849819876
167	0.8486366724
168	0.8458613108
169	0.8432651591
170	0.8394159928
171	0.8376215229
172	0.8347795717
173	0.8319711075
174	0.8307628487
175	0.8282686948
176	0.8256216007
177	0.8226678136
178	0.8203459427
179	0.8182744026
180	0.8167003912
181	0.8143879962
182	0.8119634127
183	0.8101247471
184	0.8087671353
185	0.8064635413
186	0.8042014396
187	0.8018359391
188	0.7997279907
189	0.7952475433
190	0.7928410582
191	0.7911567285
192	0.7889436809
193	0.7872190924
194	0.7842537031
195	0.7819351172
196	0.7786374694
197	0.7760346584
198	0.7744895711
199	0.7731482054
200	0.770563589
201	0.7679997186
202	0.7664369343
203	0.763951682
204	0.7607464292
205	0.7589397253
206	0.7557196331
207	0.7540279313
208	0.7518148063
209	0.750307205
210	0.7478224414
211	0.7455097886
212	0.7439601479
213	0.7425120616
214	0.740095179
215	0.7391034856
216	0.7372559874
217	0.7346868799
218	0.7332552554
219	0.7315982997
220	0.7288691362
221	0.7268443148
222	0.7252636566
223	0.7235892877
224	0.7221032078
225	0.719946533
226	0.7190958334
227	0.7171848691
228	0.7150795113
229	0.7125608983
230	0.7099959835
231	0.7083585019
232	0.7067597058
233	0.7045500663
234	0.7033593672
235	0.7010074562
236	0.6996353699
237	0.6978386636
238	0.695592021
