iter	Passed	Remaining
0	0	147
1	0	127
2	0	117
3	0	109
4	0	104
5	1	102
6	1	101
7	1	99
8	1	97
9	1	95
10	1	92
11	2	91
12	2	90
13	2	88
14	2	87
15	2	86
16	2	86
17	2	85
18	3	85
19	3	85
20	3	84
21	3	85
22	3	86
23	3	86
24	4	86
25	4	86
26	4	86
27	4	86
28	4	86
29	4	86
30	5	86
31	5	85
32	5	85
33	5	84
34	5	83
35	5	83
36	5	82
37	6	82
38	6	81
39	6	80
40	6	80
41	6	79
42	6	79
43	6	78
44	6	78
45	7	77
46	7	77
47	7	76
48	7	76
49	7	76
50	7	75
51	7	75
52	7	74
53	8	74
54	8	74
55	8	74
56	8	73
57	8	73
58	8	73
59	8	72
60	9	72
61	9	72
62	9	72
63	9	71
64	9	71
65	9	71
66	9	71
67	9	70
68	10	70
69	10	70
70	10	70
71	10	69
72	10	69
73	10	69
74	10	69
75	11	69
76	11	68
77	11	68
78	11	68
79	11	68
80	11	67
81	11	67
82	11	67
83	12	67
84	12	66
85	12	66
86	12	66
87	12	66
88	12	66
89	12	65
90	12	65
91	13	65
92	13	65
93	13	64
94	13	64
95	13	64
96	13	64
97	13	64
98	14	64
99	14	64
100	14	64
101	14	63
102	14	63
103	14	63
104	14	63
105	15	63
106	15	63
107	15	63
108	15	63
109	15	63
110	15	63
111	16	63
112	16	63
113	16	63
114	16	63
115	16	63
116	17	63
117	17	63
118	17	63
119	17	63
120	18	63
121	18	63
122	18	63
123	18	63
124	18	63
125	18	63
126	19	63
127	19	63
128	19	63
129	19	63
130	19	62
131	19	62
132	19	62
133	19	62
134	20	61
135	20	61
136	20	61
137	20	61
138	20	61
139	20	60
140	20	60
141	21	60
142	21	60
143	21	60
144	21	60
145	21	60
146	21	59
147	21	59
148	22	59
149	22	59
150	22	58
151	22	58
152	22	58
153	22	58
154	22	58
155	22	57
156	23	57
157	23	57
158	23	57
159	23	57
160	23	57
161	23	56
162	23	56
163	23	56
164	24	56
165	24	56
166	24	56
167	24	56
168	24	55
169	24	55
170	24	55
171	25	55
172	25	55
173	25	54
174	25	54
175	25	54
176	25	54
177	25	54
178	26	54
179	26	53
180	26	53
181	26	53
182	26	53
183	26	53
184	26	53
185	26	52
186	27	52
187	27	52
188	27	52
189	27	52
190	27	52
191	27	52
192	28	52
193	28	51
194	28	51
195	28	51
196	28	51
197	28	51
198	28	51
199	29	51
200	29	50
201	29	50
202	29	50
203	29	50
204	29	50
205	30	50
206	30	50
207	30	50
208	30	50
209	30	50
210	30	49
211	31	49
212	31	49
213	31	49
214	31	49
215	31	49
216	32	49
217	32	49
218	32	49
219	32	48
220	32	48
221	32	48
222	32	48
223	33	48
224	33	48
225	33	48
226	33	47
227	33	47
228	33	47
229	34	47
230	34	47
231	34	47
232	34	47
233	34	46
234	34	46
235	34	46
236	35	46
237	35	46
238	35	46
239	35	46
240	35	45
241	35	45
242	35	45
243	36	45
244	36	45
245	36	45
246	36	44
247	36	44
248	36	44
249	37	44
250	37	44
251	37	44
252	37	44
253	37	43
254	37	43
255	37	43
256	38	43
257	38	43
258	38	43
259	38	43
260	38	43
261	38	42
262	39	42
263	39	42
264	39	42
265	39	42
266	39	42
267	39	42
268	39	41
269	40	41
270	40	41
271	40	41
272	40	41
273	40	41
274	40	41
275	41	40
276	41	40
277	41	40
278	41	40
279	41	40
280	41	40
281	41	40
282	42	39
283	42	39
284	42	39
285	42	39
286	42	39
287	42	39
288	43	38
289	43	38
290	43	38
291	43	38
292	43	38
293	43	38
294	43	38
295	44	37
296	44	37
297	44	37
298	44	37
299	44	37
300	44	37
301	44	37
302	45	36
303	45	36
304	45	36
305	45	36
306	45	36
307	45	36
308	46	36
309	46	35
310	46	35
311	46	35
312	46	35
313	46	35
314	46	35
315	47	34
316	47	34
317	47	34
318	47	34
319	47	34
320	47	34
321	47	34
322	48	33
323	48	33
324	48	33
325	48	33
326	48	33
327	48	33
328	48	32
329	48	32
330	49	32
331	49	32
332	49	32
333	49	32
334	49	32
335	50	32
336	50	32
337	50	31
338	50	31
339	51	31
340	51	31
341	51	31
342	51	31
343	51	31
344	52	31
345	52	31
346	52	30
347	52	30
348	53	30
349	53	30
350	53	30
351	53	30
352	53	30
353	53	29
354	53	29
355	54	29
356	54	29
357	54	29
358	54	29
359	54	28
360	54	28
361	54	28
362	55	28
363	55	28
364	55	28
365	55	28
366	55	27
367	55	27
368	55	27
369	56	27
370	56	27
371	56	27
372	56	26
373	56	26
374	56	26
375	56	26
376	57	26
377	57	26
378	57	26
379	57	25
380	57	25
381	57	25
382	58	25
383	58	25
384	58	25
385	58	24
386	58	24
387	58	24
388	58	24
389	58	24
390	59	24
391	59	24
392	59	23
393	59	23
394	59	23
395	59	23
396	59	23
397	60	23
398	60	22
399	60	22
400	60	22
401	60	22
402	60	22
403	60	22
404	61	22
405	61	21
406	61	21
407	61	21
408	61	21
409	61	21
410	62	21
411	62	20
412	62	20
413	62	20
414	62	20
415	62	20
416	62	20
417	63	20
418	63	19
419	63	19
420	63	19
421	63	19
422	63	19
423	63	19
424	64	18
425	64	18
426	64	18
427	64	18
428	64	18
429	64	18
430	64	18
431	65	17
432	65	17
433	65	17
434	65	17
435	65	17
436	65	17
437	65	16
438	65	16
439	66	16
440	66	16
441	66	16
442	66	16
443	66	16
444	66	15
445	67	15
446	67	15
447	67	15
448	67	15
449	67	15
450	67	15
451	68	14
452	68	14
453	68	14
454	68	14
455	68	14
456	68	14
457	68	14
458	69	13
459	69	13
460	69	13
461	69	13
462	69	13
463	69	13
464	70	13
465	70	12
466	71	12
467	71	12
468	71	12
469	71	12
470	71	12
471	71	12
472	71	11
473	72	11
474	72	11
475	72	11
476	72	11
477	72	11
478	72	10
479	73	10
480	73	10
481	73	10
482	73	10
483	73	10
484	73	10
485	74	9
486	74	9
487	74	9
488	74	9
489	74	9
490	74	9
491	74	8
492	75	8
493	75	8
494	75	8
495	75	8
496	75	8
497	75	8
498	75	7
499	76	7
500	76	7
501	76	7
502	76	7
503	76	7
504	76	6
505	76	6
